fair_mkt_rent,area_name,county_name,pop2010,state,metro
1671,"Flagstaff, AZ MSA",Coconino County,134421,AZ,1
1420,"Gila County, AZ",Gila County,53597,AZ,0
1128,"Graham County, AZ",Graham County,37220,AZ,0
859,"Greenlee County, AZ",Greenlee County,8437,AZ,0
1167,"La Paz County, AZ",La Paz County,20489,AZ,0
1563,"Phoenix-Mesa-Glendale, AZ MSA",Maricopa County,3817117,AZ,1
1180,"Lake Havasu City-Kingman, AZ MSA",Mohave County,200186,AZ,1
1036,"Navajo County, AZ",Navajo County,107449,AZ,0
1436,"Tucson, AZ MSA",Pima County,980263,AZ,1
1563,"Phoenix-Mesa-Glendale, AZ MSA",Pinal County,375770,AZ,1
1351,"Santa Cruz County, AZ",Santa Cruz County,47420,AZ,0
1240,"Prescott, AZ MSA",Yavapai County,211033,AZ,1
1441,"Yuma, AZ MSA",Yuma County,195751,AZ,1
840,"Arkansas County, AR",Arkansas County,19019,AR,0
794,"Ashley County, AR",Ashley County,21853,AR,0
1077,"Baxter County, AR",Baxter County,41513,AR,0
1249,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Benton County,221339,AR,1
1002,"Boone County, AR",Boone County,36903,AR,0
851,"Bradley County, AR",Bradley County,11508,AR,0
944,"Calhoun County, AR",Calhoun County,5368,AR,0
811,"Carroll County, AR",Carroll County,27446,AR,0
1034,"Chicot County, AR",Chicot County,11800,AR,0
780,"Clark County, AR",Clark County,22995,AR,0
800,"Clay County, AR",Clay County,16083,AR,0
934,"Cleburne County, AR",Cleburne County,25970,AR,0
982,"Pine Bluff, AR MSA",Cleveland County,8689,AR,1
825,"Columbia County, AR",Columbia County,24552,AR,0
1025,"Conway County, AR",Conway County,21273,AR,0
883,"Jonesboro, AR HUD Metro FMR Area",Craighead County,96443,AR,1
958,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,61948,AR,1
1267,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,50902,AR,1
1061,"Cross County, AR",Cross County,17870,AR,0
1021,"Dallas County, AR",Dallas County,8116,AR,0
1005,"Desha County, AR",Desha County,13008,AR,0
1034,"Drew County, AR",Drew County,18509,AR,0
1155,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Faulkner County,113237,AR,1
936,"Franklin County, AR HUD Metro FMR Area",Franklin County,18125,AR,1
884,"Fulton County, AR",Fulton County,12245,AR,0
1298,"Hot Springs, AR MSA",Garland County,96024,AR,1
1034,"Grant County, AR HUD Metro FMR Area",Grant County,17853,AR,1
1111,"Greene County, AR",Greene County,42090,AR,0
949,"Hempstead County, AR",Hempstead County,22609,AR,0
935,"Hot Spring County, AR",Hot Spring County,32923,AR,0
945,"Howard County, AR",Howard County,13789,AR,0
947,"Independence County, AR",Independence County,36647,AR,0
802,"Izard County, AR",Izard County,13696,AR,0
1034,"Jackson County, AR",Jackson County,17997,AR,0
982,"Pine Bluff, AR MSA",Jefferson County,77435,AR,1
921,"Johnson County, AR",Johnson County,25540,AR,0
884,"Lafayette County, AR",Lafayette County,7645,AR,0
929,"Lawrence County, AR",Lawrence County,17415,AR,0
809,"Lee County, AR",Lee County,10424,AR,0
982,"Pine Bluff, AR MSA",Lincoln County,14134,AR,1
1034,"Little River County, AR",Little River County,13171,AR,0
814,"Logan County, AR",Logan County,22353,AR,0
1155,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Lonoke County,68356,AR,1
1249,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Madison County,15717,AR,1
855,"Marion County, AR",Marion County,16653,AR,0
1021,"Texarkana, TX-Texarkana, AR MSA",Miller County,43462,AR,1
892,"Mississippi County, AR",Mississippi County,46480,AR,0
1004,"Monroe County, AR",Monroe County,8149,AR,0
884,"Montgomery County, AR",Montgomery County,9487,AR,0
1014,"Nevada County, AR",Nevada County,8997,AR,0
884,"Newton County, AR",Newton County,8330,AR,0
780,"Ouachita County, AR",Ouachita County,26120,AR,0
1155,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Perry County,10445,AR,1
953,"Phillips County, AR",Phillips County,21757,AR,0
884,"Pike County, AR",Pike County,11291,AR,0
1008,"Poinsett County, AR HUD Metro FMR Area",Poinsett County,24583,AR,1
785,"Polk County, AR",Polk County,20662,AR,0
1087,"Pope County, AR",Pope County,61754,AR,0
1034,"Prairie County, AR",Prairie County,8715,AR,0
1155,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Pulaski County,382748,AR,1
884,"Randolph County, AR",Randolph County,17969,AR,0
935,"St. Francis County, AR",St. Francis County,28258,AR,0
1155,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Saline County,107118,AR,1
884,"Scott County, AR",Scott County,11233,AR,0
780,"Searcy County, AR",Searcy County,8195,AR,0
958,"Fort Smith, AR-OK HUD Metro FMR Area",Sebastian County,125744,AR,1
819,"Sevier County, AR",Sevier County,17058,AR,0
876,"Sharp County, AR",Sharp County,17264,AR,0
884,"Stone County, AR",Stone County,12394,AR,0
944,"Union County, AR",Union County,41639,AR,0
884,"Van Buren County, AR",Van Buren County,17295,AR,0
1249,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Washington County,203065,AR,1
956,"White County, AR",White County,77076,AR,0
884,"Woodruff County, AR",Woodruff County,7260,AR,0
1034,"Yell County, AR",Yell County,22185,AR,0
2716,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,1510271,CA,1
1320,"Alpine County, CA",Alpine County,1175,CA,0
1592,"Amador County, CA",Amador County,38091,CA,0
1541,"Chico, CA MSA",Butte County,220000,CA,1
1562,"Calaveras County, CA",Calaveras County,45578,CA,0
1373,"Colusa County, CA",Colusa County,21419,CA,0
2716,"Oakland-Fremont, CA HUD Metro FMR Area",Contra Costa County,1049025,CA,1
1343,"Del Norte County, CA",Del Norte County,28610,CA,0
1792,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",El Dorado County,181058,CA,1
1399,"Fresno, CA MSA",Fresno County,930450,CA,1
1376,"Glenn County, CA",Glenn County,28122,CA,0
1600,"Humboldt County, CA",Humboldt County,134623,CA,0
1325,"El Centro, CA MSA",Imperial County,174528,CA,1
1596,"Inyo County, CA",Inyo County,18546,CA,0
1474,"Bakersfield-Delano, CA MSA",Kern County,839631,CA,1
1206,"Hanford-Corcoran, CA MSA",Kings County,152982,CA,1
1270,"Lake County, CA",Lake County,64665,CA,0
1297,"Lassen County, CA",Lassen County,34895,CA,0
2145,"Los Angeles-Long Beach, CA HUD Metro FMR Area",Los Angeles County,9818605,CA,1
1404,"Madera-Chowchilla, CA MSA",Madera County,150865,CA,1
3386,"San Francisco, CA HUD Metro FMR Area",Marin County,252409,CA,1
1356,"Mariposa County, CA",Mariposa County,18251,CA,0
1910,"Mendocino County, CA",Mendocino County,87841,CA,0
1344,"Merced, CA MSA",Merced County,255793,CA,1
1131,"Modoc County, CA",Modoc County,9686,CA,0
1842,"Mono County, CA",Mono County,14202,CA,0
