two_bed,studio,one_bed,three_bed,four_bed,county_name,pop2010,state,metro
607,455,458,791,811,Carroll County,27446,AR,0
584,431,434,861,1034,Chicot County,11800,AR,0
584,440,443,774,780,Clark County,22995,AR,0
584,429,432,758,800,Clay County,16083,AR,0
609,472,475,800,934,Cleburne County,25970,AR,0
641,409,482,803,982,Cleveland County,8689,AR,1
584,429,432,822,825,Columbia County,24552,AR,0
632,464,467,787,1025,Conway County,21273,AR,0
626,381,506,879,883,Craighead County,96443,AR,1
638,484,487,850,958,Crawford County,61948,AR,1
832,614,702,1137,1267,Crittenden County,50902,AR,1
636,489,493,875,1061,Cross County,17870,AR,0
584,455,493,861,1021,Dallas County,8116,AR,0
584,429,432,802,1005,Desha County,13008,AR,0
584,429,432,840,1034,Drew County,18509,AR,0
744,536,619,1040,1155,Faulkner County,113237,AR,1
623,457,460,803,936,Franklin County,18125,AR,1
584,429,432,727,884,Fulton County,12245,AR,0
795,473,588,1058,1298,Garland County,96024,AR,1
584,421,493,861,1034,Grant County,17853,AR,1
627,393,466,870,1111,Greene County,42090,AR,0
584,455,477,727,949,Hempstead County,22609,AR,0
605,472,510,806,935,Hot Spring County,32923,AR,0
584,390,432,767,945,Howard County,13789,AR,0
590,433,436,747,947,Independence County,36647,AR,0
584,429,432,727,802,Izard County,13696,AR,0
584,429,432,861,1034,Jackson County,17997,AR,0
641,409,482,803,982,Jefferson County,77435,AR,1
601,445,448,749,921,Johnson County,25540,AR,0
584,429,432,861,884,Lafayette County,7645,AR,0
584,429,432,777,929,Lawrence County,17415,AR,0
605,472,510,775,809,Lee County,10424,AR,0
641,409,482,803,982,Lincoln County,14134,AR,1
584,418,432,727,1034,Little River County,13171,AR,0
584,347,432,727,814,Logan County,22353,AR,0
744,536,619,1040,1155,Lonoke County,68356,AR,1
719,490,559,1059,1249,Madison County,15717,AR,1
584,429,432,727,855,Marion County,16653,AR,0
764,479,622,952,1021,Miller County,43462,AR,1
605,378,447,804,892,Mississippi County,46480,AR,0
584,429,432,794,1004,Monroe County,8149,AR,0
584,429,432,727,884,Montgomery County,9487,AR,0
584,429,432,754,1014,Nevada County,8997,AR,0
584,429,432,727,884,Newton County,8330,AR,0
584,450,452,752,780,Ouachita County,26120,AR,0
744,536,619,1040,1155,Perry County,10445,AR,1
584,429,432,861,953,Phillips County,21757,AR,0
584,443,446,727,884,Pike County,11291,AR,0
584,366,446,856,1008,Poinsett County,24583,AR,1
584,448,451,782,785,Polk County,20662,AR,0
614,456,459,838,1087,Pope County,61754,AR,0
584,455,493,861,1034,Prairie County,8715,AR,0
744,536,619,1040,1155,Pulaski County,382748,AR,1
584,429,432,745,884,Randolph County,17969,AR,0
584,472,493,813,935,St. Francis County,28258,AR,0
744,536,619,1040,1155,Saline County,107118,AR,1
584,429,432,727,884,Scott County,11233,AR,0
584,429,432,727,780,Searcy County,8195,AR,0
638,484,487,850,958,Sebastian County,125744,AR,1
584,455,463,750,819,Sevier County,17058,AR,0
584,429,432,768,876,Sharp County,17264,AR,0
584,429,432,750,884,Stone County,12394,AR,0
661,485,489,823,944,Union County,41639,AR,0
584,455,493,741,884,Van Buren County,17295,AR,0
719,490,559,1059,1249,Washington County,203065,AR,1
617,453,456,909,956,White County,77076,AR,0
584,429,432,861,884,Woodruff County,7260,AR,0
584,429,432,861,1034,Yell County,22185,AR,0
1585,1039,1260,2213,2716,Alameda County,1510271,CA,1
818,595,605,1019,1320,Alpine County,1175,CA,0
986,587,729,1308,1592,Amador County,38091,CA,0
870,527,660,1242,1541,Butte County,220000,CA,1
882,642,699,1300,1562,Calaveras County,45578,CA,0
775,569,573,1142,1373,Colusa County,21419,CA,0
1585,1039,1260,2213,2716,Contra Costa County,1049025,CA,1
835,613,617,1230,1343,Del Norte County,28610,CA,0
1012,676,806,1491,1792,El Dorado County,181058,CA,1
853,649,676,1199,1399,Fresno County,930450,CA,1
777,570,574,1121,1376,Glenn County,28122,CA,0
933,630,692,1375,1600,Humboldt County,134623,CA,0
748,476,579,1102,1325,Imperial County,174528,CA,1
901,728,758,1328,1596,Inyo County,18546,CA,0
832,631,636,1220,1474,Kern County,839631,CA,1
807,504,596,1147,1206,Kings County,152982,CA,1
853,626,630,1257,1270,Lake County,64665,CA,0
924,646,683,1292,1297,Lassen County,34895,CA,0
1424,913,1103,1926,2145,Los Angeles County,9818605,CA,1
881,647,651,1280,1404,Madera County,150865,CA,1
2062,1256,1635,2801,3386,Marin County,252409,CA,1
840,611,621,1046,1356,Mariposa County,18251,CA,0
1147,811,869,1580,1910,Mendocino County,87841,CA,0
759,498,577,1118,1344,Merced County,255793,CA,1
643,468,542,948,1131,Modoc County,9686,CA,0
1141,842,962,1421,1842,Mono County,14202,CA,0
1244,879,987,1814,2029,Monterey County,415057,CA,1
1513,902,1131,2159,2166,Napa County,136484,CA,1
1355,1016,1023,1997,2309,Nevada County,98764,CA,0
1608,1117,1283,2250,2505,Orange County,3010232,CA,1
1012,676,806,1491,1792,Placer County,348432,CA,1
861,512,636,1072,1416,Plumas County,20007,CA,0
1153,788,908,1629,1987,Riverside County,2189641,CA,1
1012,676,806,1491,1792,Sacramento County,1418788,CA,1
1279,761,945,1885,2265,San Benito County,55269,CA,1
1153,788,908,1629,1987,San Bernardino County,2035210,CA,1
1390,964,1060,2021,2462,San Diego County,3095313,CA,1
2062,1256,1635,2801,3386,San Francisco County,805235,CA,1
946,605,721,1394,1675,San Joaquin County,685306,CA,1
1309,877,1014,1929,2011,San Luis Obispo County,269637,CA,1
2062,1256,1635,2801,3386,San Mateo County,718451,CA,1
1460,1060,1218,1951,2259,Santa Barbara County,423895,CA,1
1809,1213,1419,2551,2892,Santa Clara County,1781642,CA,1
1756,1073,1298,2263,2525,Santa Cruz County,262382,CA,1
907,702,722,1337,1490,Shasta County,177223,CA,1
1040,757,769,1533,1679,Sierra County,3240,CA,0
794,522,622,1158,1303,Siskiyou County,44900,CA,0
1207,765,964,1779,2115,Solano County,413344,CA,1
1370,898,1047,2019,2367,Sonoma County,483878,CA,1
923,583,720,1360,1578,Stanislaus County,514453,CA,1
850,551,664,1228,1454,Sutter County,94737,CA,1
785,467,580,1107,1269,Tehama County,63463,CA,0
741,551,554,1092,1312,Trinity County,13786,CA,0
771,577,592,1136,1321,Tulare County,442179,CA,1
952,580,704,1403,1408,Tuolumne County,55365,CA,0
1555,969,1158,2148,2486,Ventura County,823318,CA,1
1105,757,818,1628,1899,Yolo County,200849,CA,1
850,551,664,1228,1454,Yuba County,72155,CA,1
1156,723,893,1696,1967,Adams County,441603,CO,1
654,528,550,815,874,Alamosa County,15445,CO,0
1156,723,893,1696,1967,Arapahoe County,572003,CO,1
807,618,622,1055,1078,Archuleta County,12084,CO,0
643,519,542,948,987,Baca County,3788,CO,0
643,472,475,801,987,Bent County,6499,CO,0
1232,857,996,1815,2157,Boulder County,294567,CO,1
1156,723,893,1696,1967,Broomfield County,55889,CO,1
778,571,575,1146,1336,Chaffee County,17809,CO,0
643,472,475,881,987,Cheyenne County,1836,CO,0
1156,723,893,1696,1967,Clear Creek County,9088,CO,1
643,519,542,801,859,Conejos County,8256,CO,0
643,519,542,948,951,Costilla County,3524,CO,0
643,472,475,805,1139,Crowley County,5823,CO,0
643,472,475,837,987,Custer County,4255,CO,0
783,575,579,975,1350,Delta County,30952,CO,0
1156,723,893,1696,1967,Denver County,600158,CO,1
643,519,542,948,987,Dolores County,2064,CO,0
1156,723,893,1696,1967,Douglas County,285465,CO,1
1198,879,885,1550,1970,Eagle County,52197,CO,0
1156,723,893,1696,1967,Elbert County,23086,CO,1
856,531,659,1261,1516,El Paso County,622263,CO,1
695,561,578,999,1077,Fremont County,46824,CO,0
1061,779,784,1326,1879,Garfield County,56389,CO,0
1156,723,893,1696,1967,Gilpin County,5441,CO,1
862,633,637,1207,1211,Grand County,14843,CO,0
883,576,653,1100,1478,Gunnison County,15324,CO,0
853,653,657,1169,1309,Hinsdale County,843,CO,0
652,479,482,812,871,Huerfano County,6711,CO,0
734,562,565,914,1127,Jackson County,1394,CO,0
1156,723,893,1696,1967,Jefferson County,534543,CO,1
672,514,518,837,966,Kiowa County,1398,CO,0
643,472,475,801,1134,Kit Carson County,8270,CO,0
974,665,720,1213,1495,Lake County,7310,CO,0
921,695,740,1248,1604,La Plata County,51334,CO,0
893,600,742,1316,1582,Larimer County,299630,CO,1
703,516,520,978,982,Las Animas County,15507,CO,0
643,500,504,801,987,Lincoln County,5467,CO,0
662,394,489,824,978,Logan County,22709,CO,0
779,491,585,1148,1319,Mesa County,146723,CO,1
643,492,495,801,987,Mineral County,712,CO,0
743,580,584,1095,1099,Moffat County,13795,CO,0
643,519,542,948,1139,Montezuma County,25535,CO,0
776,496,574,1096,1374,Montrose County,41276,CO,0
643,490,493,832,913,Morgan County,28159,CO,0
643,383,475,801,859,Otero County,18831,CO,0
999,733,738,1472,1617,Ouray County,4436,CO,0
1156,723,893,1696,1967,Park County,16206,CO,1
643,479,482,801,859,Phillips County,4442,CO,0
1469,874,1086,1946,1963,Pitkin County,17148,CO,0
643,472,475,804,875,Prowers County,12551,CO,0
733,462,560,1049,1132,Pueblo County,159063,CO,1
694,509,513,1023,1074,Rio Blanco County,6666,CO,0
643,519,542,854,1139,Rio Grande County,11982,CO,0
1097,661,890,1502,1507,Routt County,23509,CO,0
643,519,542,816,1139,Saguache County,6108,CO,0
1027,663,759,1513,1577,San Juan County,699,CO,0
1284,812,1049,1866,2220,San Miguel County,7359,CO,0
643,519,542,915,918,Sedgwick County,2379,CO,0
1261,750,1018,1656,2106,Summit County,27994,CO,0
899,558,719,1298,1302,Teller County,23350,CO,1
643,472,475,801,868,Washington County,4814,CO,0
786,523,611,1153,1392,Weld County,252825,CO,1
643,472,475,849,1001,Yuma County,10043,CO,0
1583,1027,1170,1973,2497,Bethel town,18584,CT,1
1283,803,1008,1679,1818,Bridgeport town,144229,CT,1
1583,1027,1170,1973,2497,Brookfield town,16452,CT,1
1583,1027,1170,1973,2497,Danbury town,80893,CT,1
1943,1291,1564,2420,3010,Darien town,20732,CT,1
1283,803,1008,1679,1818,Easton town,7490,CT,1
1283,803,1008,1679,1818,Fairfield town,59404,CT,1
1943,1291,1564,2420,3010,Greenwich town,61171,CT,1
1283,803,1008,1679,1818,Monroe town,19479,CT,1
1943,1291,1564,2420,3010,New Canaan town,19738,CT,1
1583,1027,1170,1973,2497,New Fairfield town,13881,CT,1
1583,1027,1170,1973,2497,Newtown town,27560,CT,1
1943,1291,1564,2420,3010,Norwalk town,85603,CT,1
1583,1027,1170,1973,2497,Redding town,9158,CT,1
1583,1027,1170,1973,2497,Ridgefield town,24638,CT,1
1283,803,1008,1679,1818,Shelton town,39559,CT,1
1583,1027,1170,1973,2497,Sherman town,3581,CT,1
1943,1291,1564,2420,3010,Stamford town,122643,CT,1
1283,803,1008,1679,1818,Stratford town,51384,CT,1
1283,803,1008,1679,1818,Trumbull town,36018,CT,1
1943,1291,1564,2420,3010,Weston town,10179,CT,1
1943,1291,1564,2420,3010,Westport town,26391,CT,1
1943,1291,1564,2420,3010,Wilton town,18062,CT,1
1144,732,918,1425,1655,Avon town,18098,CT,1
1144,732,918,1425,1655,Berlin town,19866,CT,1
1144,732,918,1425,1655,Bloomfield town,20486,CT,1
1144,732,918,1425,1655,Bristol town,60477,CT,1
1144,732,918,1425,1655,Burlington town,9301,CT,1
1144,732,918,1425,1655,Canton town,10292,CT,1
1144,732,918,1425,1655,East Granby town,5148,CT,1
1144,732,918,1425,1655,East Hartford town,51252,CT,1
1144,732,918,1425,1655,East Windsor town,11162,CT,1
1144,732,918,1425,1655,Enfield town,44654,CT,1
1144,732,918,1425,1655,Farmington town,25340,CT,1
1144,732,918,1425,1655,Glastonbury town,34427,CT,1
1144,732,918,1425,1655,Granby town,11282,CT,1
1144,732,918,1425,1655,Hartford town,124775,CT,1
1144,732,918,1425,1655,Hartland town,2114,CT,1
1144,732,918,1425,1655,Manchester town,58241,CT,1
1144,732,918,1425,1655,Marlborough town,6404,CT,1
1144,732,918,1425,1655,New Britain town,73206,CT,1
1144,732,918,1425,1655,Newington town,30562,CT,1
1144,732,918,1425,1655,Plainville town,17716,CT,1
1144,732,918,1425,1655,Rocky Hill town,19709,CT,1
1144,732,918,1425,1655,Simsbury town,23511,CT,1
1144,732,918,1425,1655,Southington town,43069,CT,1
1144,732,918,1425,1655,South Windsor town,25709,CT,1
1144,732,918,1425,1655,Suffield town,15735,CT,1
1144,732,918,1425,1655,West Hartford town,63268,CT,1
1144,732,918,1425,1655,Wethersfield town,26668,CT,1
1144,732,918,1425,1655,Windsor town,29044,CT,1
1144,732,918,1425,1655,Windsor Locks town,12498,CT,1
1030,790,802,1305,1548,Barkhamsted town,3799,CT,0
