two_bed,studio,one_bed,three_bed,four_bed,county_name,pop2010,state,metro
593,402,438,739,819,Monroe County,7970,IA,0
593,435,438,863,866,Montgomery County,10740,IA,0
737,499,545,1011,1092,Muscatine County,42745,IA,0
593,440,482,859,862,O'Brien County,14398,IA,0
630,427,514,785,842,Osceola County,6462,IA,0
593,402,463,807,810,Page County,15932,IA,0
593,402,498,874,1050,Palo Alto County,9421,IA,0
637,432,506,882,886,Plymouth County,24986,IA,0
593,402,460,739,1050,Pocahontas County,7310,IA,0
787,528,634,1095,1167,Polk County,430640,IA,1
807,480,642,1082,1202,Pottawattamie County,93158,IA,1
653,442,523,858,910,Poweshiek County,18914,IA,0
593,402,481,744,900,Ringgold County,5131,IA,0
593,355,444,768,792,Sac County,10350,IA,0
710,448,554,957,1008,Scott County,165224,IA,1
599,406,462,776,900,Shelby County,12167,IA,0
593,402,468,813,816,Sioux County,33704,IA,0
737,505,591,1043,1220,Story County,89542,IA,1
609,413,450,763,890,Tama County,17767,IA,0
593,402,500,874,877,Taylor County,6317,IA,0
593,402,442,795,968,Union County,12534,IA,0
593,402,500,833,836,Van Buren County,7570,IA,0
672,434,512,858,898,Wapello County,35625,IA,0
787,528,634,1095,1167,Warren County,46225,IA,1
619,411,491,912,1042,Washington County,21704,IA,1
593,402,438,874,877,Wayne County,6403,IA,0
593,477,480,843,879,Webster County,38013,IA,0
593,402,471,874,907,Winnebago County,10866,IA,0
598,439,442,782,1059,Winneshiek County,21056,IA,0
708,421,550,929,1045,Woodbury County,102172,IA,1
593,392,500,751,792,Worth County,7598,IA,0
593,402,467,739,792,Wright County,13229,IA,0
634,412,535,873,876,Allen County,13371,KS,0
634,412,476,934,1123,Anderson County,8102,KS,0
665,396,498,980,983,Atchison County,16924,KS,0
634,412,469,833,922,Barber County,4861,KS,0
634,512,534,837,1091,Barton County,27674,KS,0
655,420,484,816,1064,Bourbon County,15173,KS,0
634,412,469,869,872,Brown County,9984,KS,0
723,439,544,997,1099,Butler County,65880,KS,1
634,412,473,900,903,Chase County,2790,KS,0
660,429,557,925,960,Chautauqua County,3669,KS,0
634,412,469,860,1020,Cherokee County,21603,KS,0
634,412,469,790,847,Cheyenne County,2726,KS,0
634,412,523,825,1123,Clark County,2215,KS,0
747,548,552,930,998,Clay County,8535,KS,0
634,412,484,934,937,Cloud County,9533,KS,0
634,412,469,857,860,Coffey County,8601,KS,0
634,412,535,825,922,Comanche County,1891,KS,0
641,417,489,856,860,Cowley County,36311,KS,0
675,439,523,995,1181,Crawford County,39134,KS,0
634,412,471,790,922,Decatur County,2961,KS,0
634,412,484,875,1123,Dickinson County,19754,KS,0
677,469,507,868,1069,Doniphan County,7945,KS,1
815,498,629,1193,1311,Douglas County,110826,KS,1
634,412,469,790,1061,Edwards County,3037,KS,0
634,412,535,934,937,Elk County,2882,KS,0
634,451,469,884,956,Ellis County,28452,KS,0
634,412,494,813,922,Ellsworth County,6497,KS,0
697,453,543,881,1181,Finney County,36776,KS,0
676,508,544,861,1041,Ford County,33848,KS,0
760,453,562,947,1209,Franklin County,25992,KS,1
776,586,590,1118,1374,Geary County,34362,KS,1
634,412,535,805,922,Gove County,2695,KS,0
634,412,535,934,937,Graham County,2597,KS,0
634,412,471,912,922,Grant County,7829,KS,0
634,412,518,849,852,Gray County,6006,KS,0
634,412,471,790,866,Greeley County,1247,KS,0
634,412,499,885,1030,Greenwood County,6689,KS,0
710,461,528,884,1032,Hamilton County,2690,KS,0
634,412,481,934,1116,Harper County,6034,KS,0
723,439,544,997,1099,Harvey County,34684,KS,1
761,495,562,948,1189,Haskell County,4256,KS,0
634,412,469,790,922,Hodgeman County,1916,KS,0
701,417,528,990,1202,Jackson County,13462,KS,1
701,417,528,990,1202,Jefferson County,19126,KS,1
634,412,535,865,905,Jewell County,3077,KS,0
891,559,719,1221,1360,Johnson County,544179,KS,1
634,412,471,912,922,Kearny County,3977,KS,0
642,417,541,800,1090,Kingman County,7858,KS,0
634,412,535,934,937,Kiowa County,2553,KS,0
634,412,469,790,847,Labette County,21607,KS,0
634,412,471,790,922,Lane County,1750,KS,0
891,559,719,1221,1360,Leavenworth County,76227,KS,1
659,428,538,821,881,Lincoln County,3241,KS,0
891,559,719,1221,1360,Linn County,9656,KS,1
634,412,469,790,847,Logan County,2756,KS,0
634,377,469,857,861,Lyon County,33690,KS,0
666,433,492,829,890,McPherson County,29180,KS,0
634,412,469,790,847,Marion County,12660,KS,0
634,491,495,845,1044,Marshall County,10117,KS,0
634,412,469,790,847,Meade County,4575,KS,0
891,559,719,1221,1360,Miami County,32787,KS,1
634,412,535,934,962,Mitchell County,6373,KS,0
634,506,509,854,999,Montgomery County,35471,KS,0
634,412,511,795,922,Morris County,5923,KS,0
634,412,490,790,847,Morton County,3233,KS,0
634,412,495,934,937,Nemaha County,10178,KS,0
634,412,469,841,847,Neosho County,16512,KS,0
634,412,535,790,989,Ness County,3107,KS,0
634,412,535,907,922,Norton County,5671,KS,0
701,417,528,990,1202,Osage County,16295,KS,1
634,412,535,925,929,Osborne County,3858,KS,0
665,432,550,980,1178,Ottawa County,6091,KS,0
634,412,469,790,847,Pawnee County,6973,KS,0
634,412,493,924,1064,Phillips County,5642,KS,0
776,586,590,1118,1374,Pottawatomie County,21604,KS,1
650,422,480,810,869,Pratt County,9656,KS,0
634,412,469,790,922,Rawlins County,2519,KS,0
675,444,499,949,1011,Reno County,64511,KS,0
634,412,469,790,847,Republic County,4980,KS,0
634,412,483,858,969,Rice County,10083,KS,0
776,586,590,1118,1374,Riley County,71115,KS,1
634,412,529,790,847,Rooks County,5181,KS,0
634,412,535,855,922,Rush County,3307,KS,0
691,449,511,902,1034,Russell County,6970,KS,0
694,533,544,897,1060,Saline County,55606,KS,0
634,412,471,934,937,Scott County,4936,KS,0
723,439,544,997,1099,Sedgwick County,498365,KS,1
707,459,580,891,1048,Seward County,22952,KS,0
701,417,528,990,1202,Shawnee County,177934,KS,1
634,412,469,790,847,Sheridan County,2556,KS,0
634,412,471,845,1123,Sherman County,6010,KS,0
634,412,506,934,937,Smith County,3853,KS,0
634,412,482,790,847,Stafford County,4437,KS,0
634,412,471,856,902,Stanton County,2235,KS,0
720,468,532,897,1047,Stevens County,5724,KS,0
639,469,472,850,1132,Sumner County,24132,KS,1
634,412,535,909,1123,Thomas County,7900,KS,0
636,413,470,937,940,Trego County,3001,KS,0
701,417,528,990,1202,Wabaunsee County,7053,KS,1
634,412,471,790,922,Wallace County,1485,KS,0
634,465,469,790,847,Washington County,5799,KS,0
665,432,502,828,967,Wichita County,2234,KS,0
634,412,469,860,1123,Wilson County,9409,KS,0
634,412,469,934,937,Woodson County,3309,KS,0
891,559,719,1221,1360,Wyandotte County,157505,KS,1
558,410,412,822,825,Adair County,18656,KY,0
558,419,471,822,825,Allen County,19956,KY,0
666,527,530,829,965,Anderson County,21421,KY,0
558,410,412,765,913,Ballard County,8249,KY,0
566,416,418,793,894,Barren County,42173,KY,0
558,419,469,822,825,Bath County,11591,KY,0
558,344,447,783,786,Bell County,28691,KY,0
769,463,579,1065,1173,Boone County,118811,KY,1
776,508,593,1105,1237,Bourbon County,19985,KY,1
638,380,519,843,1035,Boyd County,49542,KY,1
613,450,453,852,1086,Boyle County,28432,KY,0
769,463,579,1065,1173,Bracken County,8488,KY,1
558,419,471,695,776,Breathitt County,13878,KY,0
558,419,454,822,825,Breckinridge County,20059,KY,0
737,507,592,1020,1154,Bullitt County,74319,KY,1
558,419,471,822,988,Butler County,12690,KY,0
558,419,470,787,790,Caldwell County,12984,KY,0
625,462,520,892,896,Calloway County,37191,KY,0
769,463,579,1065,1173,Campbell County,90336,KY,1
561,422,473,699,750,Carlisle County,5104,KY,0
611,459,515,900,1031,Carroll County,10811,KY,0
558,419,471,780,988,Carter County,27720,KY,0
558,410,412,760,782,Casey County,15955,KY,0
781,525,599,1035,1122,Christian County,73955,KY,1
776,508,593,1105,1237,Clark County,35613,KY,1
558,419,471,822,988,Clay County,21730,KY,0
558,368,442,786,988,Clinton County,10272,KY,0
558,419,471,798,801,Crittenden County,9315,KY,0
558,419,449,822,825,Cumberland County,6856,KY,0
672,479,497,869,956,Daviess County,96656,KY,1
659,484,499,837,1012,Edmonson County,12161,KY,1
558,419,442,695,782,Elliott County,7852,KY,0
558,419,436,695,946,Estill County,14672,KY,0
776,508,593,1105,1237,Fayette County,295803,KY,1
558,419,471,822,825,Fleming County,14348,KY,0
567,426,473,715,1004,Floyd County,39451,KY,0
672,414,549,990,994,Franklin County,49285,KY,0
558,419,471,822,825,Fulton County,6813,KY,0
769,463,579,1065,1173,Gallatin County,8589,KY,1
582,437,491,813,816,Garrard County,16912,KY,0
707,425,523,881,945,Grant County,24662,KY,1
558,419,421,695,820,Graves County,37121,KY,0
558,419,428,785,854,Grayson County,25746,KY,0
558,419,471,766,769,Green County,11258,KY,0
638,380,519,843,1035,Greenup County,36910,KY,1
672,479,497,869,956,Hancock County,8565,KY,1
744,560,564,1096,1318,Hardin County,105543,KY,1
558,451,471,759,832,Harlan County,29278,KY,0
558,332,412,695,842,Harrison County,18846,KY,0
558,410,412,695,746,Hart County,18199,KY,0
721,520,558,918,1003,Henderson County,46250,KY,1
737,507,592,1020,1154,Henry County,15416,KY,1
558,419,442,695,746,Hickman County,4902,KY,0
559,441,443,824,958,Hopkins County,46920,KY,0
711,534,600,909,997,Jackson County,13494,KY,0
737,507,592,1020,1154,Jefferson County,741096,KY,1
776,508,593,1105,1237,Jessamine County,48586,KY,1
558,410,412,723,746,Johnson County,23356,KY,0
769,463,579,1065,1173,Kenton County,159720,KY,1
558,410,412,794,797,Knott County,16346,KY,0
558,410,412,804,807,Knox County,31883,KY,0
744,560,564,1096,1318,Larue County,14193,KY,1
564,424,476,746,999,Laurel County,58849,KY,0
558,419,430,720,962,Lawrence County,15860,KY,0
558,419,471,820,823,Lee County,7887,KY,0
558,410,412,695,746,Leslie County,11310,KY,0
558,419,456,695,746,Letcher County,24519,KY,0
558,410,412,736,746,Lewis County,13870,KY,0
558,410,412,725,758,Lincoln County,24742,KY,0
558,419,471,822,825,Livingston County,9519,KY,0
558,413,420,695,746,Logan County,26835,KY,0
558,410,412,695,782,Lyon County,8314,KY,0
618,483,486,770,826,McCracken County,65565,KY,0
558,419,471,768,782,McCreary County,18306,KY,0
672,479,497,869,956,McLean County,9531,KY,1
620,473,476,878,1098,Madison County,82916,KY,0
558,410,412,695,782,Magoffin County,13333,KY,0
585,429,432,729,782,Marion County,19820,KY,0
667,457,493,856,891,Marshall County,31448,KY,0
558,419,471,804,988,Martin County,12929,KY,0
568,417,420,801,804,Mason County,17490,KY,0
653,449,483,926,929,Meade County,28602,KY,1
558,419,471,714,782,Menifee County,6306,KY,0
561,422,427,760,896,Mercer County,21331,KY,0
576,423,426,717,807,Metcalfe County,10099,KY,0
558,413,416,695,746,Monroe County,10963,KY,0
580,436,489,843,1027,Montgomery County,26499,KY,0
558,439,442,822,838,Morgan County,13923,KY,0
558,365,430,695,988,Muhlenberg County,31499,KY,0
643,442,509,948,965,Nelson County,43437,KY,1
558,410,413,801,988,Nicholas County,7135,KY,0
558,416,419,790,988,Ohio County,23842,KY,0
737,507,592,1020,1154,Oldham County,60316,KY,1
583,428,431,756,1033,Owen County,10841,KY,0
558,419,442,731,782,Owsley County,4755,KY,0
769,463,579,1065,1173,Pendleton County,14877,KY,1
558,419,471,695,746,Perry County,28712,KY,0
702,515,519,904,938,Pike County,65024,KY,0
558,410,412,798,809,Powell County,12613,KY,0
572,441,444,793,894,Pulaski County,63063,KY,0
623,457,460,776,873,Robertson County,2282,KY,0
558,419,426,795,835,Rockcastle County,17056,KY,0
648,410,528,807,1016,Rowan County,23333,KY,0
558,342,412,739,933,Russell County,17565,KY,0
776,508,593,1105,1237,Scott County,47173,KY,1
708,520,523,951,1117,Shelby County,42074,KY,1
593,445,448,739,831,Simpson County,17327,KY,0
737,507,592,1020,1154,Spencer County,17061,KY,1
597,365,441,744,798,Taylor County,24512,KY,0
558,419,469,808,810,Todd County,12460,KY,0
781,525,599,1035,1122,Trigg County,14339,KY,1
737,507,592,1020,1154,Trimble County,8809,KY,1
558,445,456,770,782,Union County,15007,KY,0
659,484,499,837,1012,Warren County,113792,KY,1
628,472,530,851,855,Washington County,11717,KY,0
558,419,433,695,782,Wayne County,20813,KY,0
721,520,558,918,1003,Webster County,13621,KY,1
578,424,427,781,994,Whitley County,35637,KY,0
565,425,429,833,1001,Wolfe County,7355,KY,0
776,508,593,1105,1237,Woodford County,24939,KY,1
627,484,487,843,846,Acadia Parish,61773,LA,0
627,493,525,887,890,Allen Parish,25764,LA,0
797,548,669,993,1144,Ascension Parish,107215,LA,1
627,493,529,924,958,Assumption Parish,23421,LA,0
627,425,463,901,1089,Avoyelles Parish,42073,LA,0
627,506,520,837,1111,Beauregard Parish,35654,LA,0
627,493,529,924,945,Bienville Parish,14353,LA,0
842,604,677,1049,1148,Bossier Parish,116979,LA,1
842,604,677,1049,1148,Caddo Parish,254969,LA,1
712,536,565,949,1162,Calcasieu Parish,192768,LA,1
627,493,529,924,1050,Caldwell Parish,10132,LA,0
712,536,565,949,1162,Cameron Parish,6839,LA,1
627,493,524,924,1010,Catahoula Parish,10407,LA,0
627,493,529,924,1111,Claiborne Parish,17195,LA,0
627,460,463,924,927,Concordia Parish,20822,LA,0
842,604,677,1049,1148,De Soto Parish,26656,LA,1
797,548,669,993,1144,East Baton Rouge Parish,440171,LA,1
627,490,493,781,1108,East Carroll Parish,7759,LA,0
797,548,669,993,1144,East Feliciana Parish,20267,LA,1
627,460,463,830,852,Evangeline Parish,33984,LA,0
627,460,463,815,838,Franklin Parish,20767,LA,0
680,549,559,922,1058,Grant Parish,22309,LA,1
713,523,527,888,953,Iberia Parish,73240,LA,0
627,431,463,847,990,Iberville Parish,33387,LA,1
627,481,500,924,1019,Jackson Parish,16274,LA,0
950,648,767,1192,1443,Jefferson Parish,432552,LA,1
627,493,529,889,892,Jefferson Davis Parish,31594,LA,0
754,477,636,989,1223,Lafayette Parish,221578,LA,1
740,475,547,957,1311,Lafourche Parish,96318,LA,1
627,469,472,864,945,La Salle Parish,14890,LA,0
742,599,603,1029,1314,Lincoln Parish,46735,LA,0
797,548,669,993,1144,Livingston Parish,128026,LA,1
627,460,463,802,838,Madison Parish,12093,LA,0
627,466,469,781,1025,Morehouse Parish,27979,LA,0
681,550,574,906,921,Natchitoches Parish,39566,LA,0
950,648,767,1192,1443,Orleans Parish,343829,LA,1
675,508,512,841,902,Ouachita Parish,153720,LA,1
950,648,767,1192,1443,Plaquemines Parish,23042,LA,1
797,548,669,993,1144,Pointe Coupee Parish,22802,LA,1
680,549,559,922,1058,Rapides Parish,131613,LA,1
651,512,549,959,981,Red River Parish,9091,LA,0
627,460,463,854,884,Richland Parish,20725,LA,0
627,506,514,781,1111,Sabine Parish,24233,LA,0
950,648,767,1192,1443,St. Bernard Parish,35897,LA,1
950,648,767,1192,1443,St. Charles Parish,52780,LA,1
797,548,669,993,1144,St. Helena Parish,11203,LA,1
627,493,529,924,1001,St. James Parish,22102,LA,0
950,648,767,1192,1443,St. John the Baptist Parish,45924,LA,1
627,421,463,786,838,St. Landry Parish,83384,LA,0
754,477,636,989,1223,St. Martin Parish,52160,LA,1
639,476,479,897,960,St. Mary Parish,54650,LA,0
950,648,767,1192,1443,St. Tammany Parish,233740,LA,1
832,547,702,1051,1231,Tangipahoa Parish,121097,LA,0
627,460,463,781,838,Tensas Parish,5252,LA,0
740,475,547,957,1311,Terrebonne Parish,111860,LA,1
675,508,512,841,902,Union Parish,22721,LA,1
660,519,557,963,1128,Vermilion Parish,57999,LA,0
882,526,652,1098,1179,Vernon Parish,52334,LA,0
644,473,476,802,1020,Washington Parish,47168,LA,0
627,493,507,822,838,Webster Parish,41207,LA,0
797,548,669,993,1144,West Baton Rouge Parish,23788,LA,1
627,460,463,898,935,West Carroll Parish,11604,LA,0
797,548,669,993,1144,West Feliciana Parish,15625,LA,1
627,493,529,842,846,Winn Parish,15313,LA,0
772,499,591,973,1033,Auburn city,23055,ME,1
772,499,591,973,1033,Durham town,3848,ME,1
772,499,591,973,1033,Greene town,4350,ME,1
772,499,591,973,1033,Leeds town,2326,ME,1
772,499,591,973,1033,Lewiston city,36592,ME,1
772,499,591,973,1033,Lisbon town,9009,ME,1
772,499,591,973,1033,Livermore town,2095,ME,1
772,499,591,973,1033,Livermore Falls town,3187,ME,1
772,499,591,973,1033,Mechanic Falls town,3031,ME,1
772,499,591,973,1033,Minot town,2607,ME,1
772,499,591,973,1033,Poland town,5376,ME,1
772,499,591,973,1033,Sabattus town,4876,ME,1
772,499,591,973,1033,Turner town,5734,ME,1
772,499,591,973,1033,Wales town,1616,ME,1
679,548,564,860,942,Allagash town,239,ME,0
679,548,564,860,942,Amity town,238,ME,0
679,548,564,860,942,Ashland town,1302,ME,0
679,548,564,860,942,Bancroft town,68,ME,0
679,548,564,860,942,Blaine town,726,ME,0
679,548,564,860,942,Bridgewater town,610,ME,0
679,548,564,860,942,Caribou city,8189,ME,0
679,548,564,860,942,Cary plantation,218,ME,0
679,548,564,860,942,Castle Hill town,425,ME,0
679,548,564,860,942,Caswell town,306,ME,0
679,548,564,860,942,Central Aroostook UT,118,ME,0
679,548,564,860,942,Chapman town,468,ME,0
679,548,564,860,942,Connor UT,457,ME,0
679,548,564,860,942,Crystal town,269,ME,0
679,548,564,860,942,Cyr plantation,103,ME,0
679,548,564,860,942,Dyer Brook town,213,ME,0
679,548,564,860,942,Eagle Lake town,864,ME,0
679,548,564,860,942,Easton town,1287,ME,0
679,548,564,860,942,Fort Fairfield town,3496,ME,0
679,548,564,860,942,Fort Kent town,4097,ME,0
679,548,564,860,942,Frenchville town,1087,ME,0
679,548,564,860,942,Garfield plantation,81,ME,0
679,548,564,860,942,Glenwood plantation,3,ME,0
679,548,564,860,942,Grand Isle town,467,ME,0
679,548,564,860,942,Hamlin town,219,ME,0
679,548,564,860,942,Hammond town,118,ME,0
679,548,564,860,942,Haynesville town,121,ME,0
679,548,564,860,942,Hersey town,83,ME,0
679,548,564,860,942,Hodgdon town,1309,ME,0
679,548,564,860,942,Houlton town,6123,ME,0
679,548,564,860,942,Island Falls town,837,ME,0
679,548,564,860,942,Limestone town,2314,ME,0
679,548,564,860,942,Linneus town,984,ME,0
679,548,564,860,942,Littleton town,1068,ME,0
679,548,564,860,942,Ludlow town,404,ME,0
679,548,564,860,942,Macwahoc plantation,79,ME,0
679,548,564,860,942,Madawaska town,4035,ME,0
679,548,564,860,942,Mapleton town,1948,ME,0
679,548,564,860,942,Mars Hill town,1493,ME,0
679,548,564,860,942,Masardis town,249,ME,0
679,548,564,860,942,Merrill town,273,ME,0
679,548,564,860,942,Monticello town,790,ME,0
679,548,564,860,942,Moro plantation,38,ME,0
679,548,564,860,942,Nashville plantation,46,ME,0
679,548,564,860,942,New Canada town,321,ME,0
679,548,564,860,942,New Limerick town,510,ME,0
679,548,564,860,942,New Sweden town,602,ME,0
679,548,564,860,942,Northwest Aroostook UT,10,ME,0
679,548,564,860,942,Oakfield town,737,ME,0
679,548,564,860,942,Orient town,147,ME,0
679,548,564,860,942,Oxbow plantation,66,ME,0
679,548,564,860,942,Penobscot Indian Island Reservation,0,ME,0
679,548,564,860,942,Perham town,386,ME,0
679,548,564,860,942,Portage Lake town,391,ME,0
679,548,564,860,942,Presque Isle city,9692,ME,0
679,548,564,860,942,Reed plantation,161,ME,0
679,548,564,860,942,St. Agatha town,747,ME,0
679,548,564,860,942,St. Francis town,485,ME,0
679,548,564,860,942,St. John plantation,267,ME,0
679,548,564,860,942,Sherman town,848,ME,0
679,548,564,860,942,Smyrna town,442,ME,0
679,548,564,860,942,South Aroostook UT,386,ME,0
679,548,564,860,942,Square Lake UT,594,ME,0
679,548,564,860,942,Stockholm town,253,ME,0
679,548,564,860,942,Van Buren town,2171,ME,0
679,548,564,860,942,Wade town,283,ME,0
679,548,564,860,942,Wallagrass town,546,ME,0
679,548,564,860,942,Washburn town,1687,ME,0
679,548,564,860,942,Westfield town,549,ME,0
679,548,564,860,942,Westmanland town,62,ME,0
679,548,564,860,942,Weston town,228,ME,0
679,548,564,860,942,Winterville plantation,224,ME,0
679,548,564,860,942,Woodland town,1213,ME,0
932,559,703,1333,1588,Baldwin town,1525,ME,1
932,559,703,1333,1588,Bridgton town,5210,ME,1
932,559,703,1333,1588,Brunswick town,20278,ME,1
1074,730,869,1421,1492,Cape Elizabeth town,9015,ME,1
1074,730,869,1421,1492,Casco town,3742,ME,1
1074,730,869,1421,1492,Chebeague Island town,341,ME,1
1074,730,869,1421,1492,Cumberland town,7211,ME,1
1074,730,869,1421,1492,Falmouth town,11185,ME,1
1074,730,869,1421,1492,Freeport town,7879,ME,1
1074,730,869,1421,1492,Frye Island town,5,ME,1
1074,730,869,1421,1492,Gorham town,16381,ME,1
1074,730,869,1421,1492,Gray town,7761,ME,1
932,559,703,1333,1588,Harpswell town,4740,ME,1
932,559,703,1333,1588,Harrison town,2730,ME,1
1074,730,869,1421,1492,Long Island town,230,ME,1
932,559,703,1333,1588,Naples town,3872,ME,1
932,559,703,1333,1588,New Gloucester town,5542,ME,1
1074,730,869,1421,1492,North Yarmouth town,3565,ME,1
1074,730,869,1421,1492,Portland city,66194,ME,1
932,559,703,1333,1588,Pownal town,1474,ME,1
1074,730,869,1421,1492,Raymond town,4436,ME,1
1074,730,869,1421,1492,Scarborough town,18919,ME,1
932,559,703,1333,1588,Sebago town,1719,ME,1
1074,730,869,1421,1492,South Portland city,25002,ME,1
1074,730,869,1421,1492,Standish town,9874,ME,1
1074,730,869,1421,1492,Westbrook city,17494,ME,1
1074,730,869,1421,1492,Windham town,17001,ME,1
1074,730,869,1421,1492,Yarmouth town,8349,ME,1
709,573,598,883,1256,Avon town,461,ME,0
709,573,598,883,1256,Carrabassett Valley town,781,ME,0
709,573,598,883,1256,Carthage town,560,ME,0
709,573,598,883,1256,Chesterville town,1352,ME,0
709,573,598,883,1256,Coplin plantation,166,ME,0
709,573,598,883,1256,Dallas plantation,309,ME,0
709,573,598,883,1256,East Central Franklin UT,808,ME,0
709,573,598,883,1256,Eustis town,618,ME,0
709,573,598,883,1256,Farmington town,7760,ME,0
709,573,598,883,1256,Industry town,929,ME,0
709,573,598,883,1256,Jay town,4851,ME,0
709,573,598,883,1256,Kingfield town,997,ME,0
709,573,598,883,1256,Madrid town,,ME,0
709,573,598,883,1256,New Sharon town,1407,ME,0
709,573,598,883,1256,New Vineyard town,757,ME,0
709,573,598,883,1256,North Franklin UT,61,ME,0
709,573,598,883,1256,Phillips town,1028,ME,0
709,573,598,883,1256,Rangeley town,1168,ME,0
709,573,598,883,1256,Rangeley plantation,189,ME,0
709,573,598,883,1256,Sandy River plantation,133,ME,0
709,573,598,883,1256,South Franklin UT,69,ME,0
709,573,598,883,1256,Strong town,1213,ME,0
709,573,598,883,1256,Temple town,528,ME,0
709,573,598,883,1256,Weld town,419,ME,0
709,573,598,883,1256,West Central Franklin UT,0,ME,0
709,573,598,883,1256,Wilton town,4116,ME,0
709,573,598,883,1256,Wyman UT,88,ME,0
848,588,666,1116,1133,Amherst town,265,ME,0
848,588,666,1116,1133,Aurora town,114,ME,0
848,588,666,1116,1133,Bar Harbor town,5235,ME,0
848,588,666,1116,1133,Blue Hill town,2686,ME,0
848,588,666,1116,1133,Brooklin town,824,ME,0
848,588,666,1116,1133,Brooksville town,934,ME,0
848,588,666,1116,1133,Bucksport town,4924,ME,0
848,588,666,1116,1133,Castine town,1366,ME,0
848,588,666,1116,1133,Central Hancock UT,117,ME,0
848,588,666,1116,1133,Cranberry Isles town,141,ME,0
848,588,666,1116,1133,Dedham town,1681,ME,0
848,588,666,1116,1133,Deer Isle town,1975,ME,0
848,588,666,1116,1133,Eastbrook town,423,ME,0
848,588,666,1116,1133,East Hancock UT,94,ME,0
848,588,666,1116,1133,Ellsworth city,7741,ME,0
848,588,666,1116,1133,Franklin town,1483,ME,0
848,588,666,1116,1133,Frenchboro town,61,ME,0
848,588,666,1116,1133,Gouldsboro town,1737,ME,0
848,588,666,1116,1133,Great Pond town,58,ME,0
848,588,666,1116,1133,Hancock town,2394,ME,0
848,588,666,1116,1133,Lamoine town,1602,ME,0
848,588,666,1116,1133,Mariaville town,513,ME,0
848,588,666,1116,1133,Marshall Island UT,0,ME,0
848,588,666,1116,1133,Mount Desert town,2053,ME,0
848,588,666,1116,1133,Northwest Hancock UT,2,ME,0
848,588,666,1116,1133,Orland town,2225,ME,0
848,588,666,1116,1133,Osborn town,67,ME,0
848,588,666,1116,1133,Otis town,672,ME,0
848,588,666,1116,1133,Penobscot town,1263,ME,0
848,588,666,1116,1133,Sedgwick town,1196,ME,0
848,588,666,1116,1133,Sorrento town,274,ME,0
848,588,666,1116,1133,Southwest Harbor town,1764,ME,0
848,588,666,1116,1133,Stonington town,1043,ME,0
848,588,666,1116,1133,Sullivan town,1236,ME,0
848,588,666,1116,1133,Surry town,1466,ME,0
848,588,666,1116,1133,Swans Island town,332,ME,0
848,588,666,1116,1133,Tremont town,1563,ME,0
848,588,666,1116,1133,Trenton town,1481,ME,0
848,588,666,1116,1133,Verona Island town,544,ME,0
848,588,666,1116,1133,Waltham town,353,ME,0
848,588,666,1116,1133,Winter Harbor town,516,ME,0
766,518,599,961,1024,Albion town,2041,ME,0
766,518,599,961,1024,Augusta city,19136,ME,0
766,518,599,961,1024,Belgrade town,3189,ME,0
766,518,599,961,1024,Benton town,2732,ME,0
766,518,599,961,1024,Chelsea town,2721,ME,0
766,518,599,961,1024,China town,4328,ME,0
766,518,599,961,1024,Clinton town,3486,ME,0
766,518,599,961,1024,Farmingdale town,2956,ME,0
766,518,599,961,1024,Fayette town,1140,ME,0
766,518,599,961,1024,Gardiner city,5800,ME,0
766,518,599,961,1024,Hallowell city,2381,ME,0
766,518,599,961,1024,Litchfield town,3624,ME,0
766,518,599,961,1024,Manchester town,2580,ME,0
766,518,599,961,1024,Monmouth town,4104,ME,0
766,518,599,961,1024,Mount Vernon town,1640,ME,0
766,518,599,961,1024,Oakland town,6240,ME,0
766,518,599,961,1024,Pittston town,2666,ME,0
766,518,599,961,1024,Randolph town,1772,ME,0
766,518,599,961,1024,Readfield town,2598,ME,0
766,518,599,961,1024,Rome town,1010,ME,0
766,518,599,961,1024,Sidney town,4208,ME,0
766,518,599,961,1024,Unity UT,43,ME,0
766,518,599,961,1024,Vassalboro town,4340,ME,0
766,518,599,961,1024,Vienna town,570,ME,0
766,518,599,961,1024,Waterville city,15722,ME,0
766,518,599,961,1024,Wayne town,1189,ME,0
766,518,599,961,1024,West Gardiner town,3474,ME,0
766,518,599,961,1024,Windsor town,2575,ME,0
766,518,599,961,1024,Winslow town,7794,ME,0
766,518,599,961,1024,Winthrop town,6092,ME,0
922,743,748,1182,1232,Appleton town,1316,ME,0
922,743,748,1182,1232,Camden town,4850,ME,0
922,743,748,1182,1232,Criehaven UT,1,ME,0
922,743,748,1182,1232,Cushing town,1534,ME,0
922,743,748,1182,1232,Friendship town,1152,ME,0
922,743,748,1182,1232,Hope town,1536,ME,0
922,743,748,1182,1232,Isle au Haut town,73,ME,0
922,743,748,1182,1232,Matinicus Isle plantation,74,ME,0
922,743,748,1182,1232,Muscle Ridge Island UT,0,ME,0
922,743,748,1182,1232,North Haven town,355,ME,0
922,743,748,1182,1232,Owls Head town,1580,ME,0
922,743,748,1182,1232,Rockland city,7297,ME,0
922,743,748,1182,1232,Rockport town,3330,ME,0
922,743,748,1182,1232,St. George town,2591,ME,0
922,743,748,1182,1232,South Thomaston town,1558,ME,0
922,743,748,1182,1232,Thomaston town,2781,ME,0
922,743,748,1182,1232,Union town,2259,ME,0
