metro_area,state,size_rank,median_rent
"Macon-Bibb County, GA",GA,178,994
"Champaign-Urbana, IL",IL,179,1136
"Tuscaloosa, AL",AL,180,1239
"College Station, TX",TX,181,1389
"Sioux Falls, SD",SD,182,1186
"Charleston, WV",WV,183,858
"Chico, CA",CA,184,1472
"Claremont, NH",NH,185,1476
"Barnstable Town, MA",MA,186,1843
"Longview, TX",TX,187,1196
"Prescott, AZ",AZ,188,1557
"Tyler, TX",TX,189,1230
"Las Cruces, NM",NM,190,1033
"Fargo, ND",ND,191,1312
"Rochester, MN",MN,192,1348
"Florence, SC",SC,193,976
"Medford, OR",OR,194,1539
"Lafayette-West Lafayette, IN",IN,195,1130
"Lake Havasu City, AZ",AZ,196,1236
"Johnson City, TN",TN,197,964
"Yuma, AZ",AZ,198,906
"Racine, WI",WI,199,1174
"Athens, GA",GA,200,1250
"Torrington, CT",CT,201,1584
"St. Cloud, MN",MN,202,1310
"Hilton Head Island, SC",SC,203,1780
"Hilo, HI",HI,204,1771
"Panama City, FL",FL,205,1344
"Kingston, NY",NY,206,1713
"Daphne, AL",AL,207,1406
"Gainesville, GA",GA,208,1349
"Warner Robins, GA",GA,209,1011
"Blacksburg, VA",VA,210,1159
"Redding, CA",CA,211,1396
"Joplin, MO",MO,212,789
"El Centro, CA",CA,213,1139
"Terre Haute, IN",IN,214,752
"East Stroudsburg, PA",PA,215,1296
"Sioux City, IA",IA,216,1042
"Greenville, NC",NC,217,1029
"Yuba City, CA",CA,218,1472
"Abilene, TX",TX,219,1036
"Columbia, MO",MO,220,1117
"Dover, DE",DE,221,1264
"Eau Claire, WI",WI,222,1083
"Janesville, WI",WI,223,861
"Jackson, MI",MI,224,1001
"Punta Gorda, FL",FL,225,1707
"Bloomington, IN",IN,226,1217
"Pueblo, CO",CO,227,1120
"Billings, MT",MT,228,1254
"Bowling Green, KY",KY,229,1073
"Bend, OR",OR,230,1717
"Albany, GA",GA,231,936
"Vineland, NJ",NJ,232,1261
"Ottawa, IL",IL,233,1034
"State College, PA",PA,234,1493
"Bangor, ME",ME,235,1189
"Alexandria, LA",LA,236,1116
"Decatur, AL",AL,237,832
"Hanford, CA",CA,238,1187
"Iowa City, IA",IA,239,1406
"Wichita Falls, TX",TX,240,897
"Burlington, NC",NC,241,1016
"Madera, CA",CA,242,1314
"Jefferson City, MO",MO,243,936
"Chambersburg, PA",PA,244,1134
"Texarkana, TX",TX,245,1011
"Elizabethtown, KY",KY,246,1021
"Florence, AL",AL,247,879
"Grand Junction, CO",CO,248,1262
"Concord, NH",NH,249,1609
"Dothan, AL",AL,250,906
"Santa Fe, NM",NM,251,1837
"Johnstown, PA",PA,252,664
"Traverse City, MI",MI,253,1342
"Hattiesburg, MS",MS,254,1128
"Dalton, GA",GA,255,1093
"Homosassa Springs, FL",FL,256,1198
"Auburn, AL",AL,257,1210
"Valdosta, GA",GA,258,989
"Coeur d'Alene, ID",ID,259,1432
"Springfield, OH",OH,260,815
"St. George, UT",UT,261,1459
"Vero Beach, FL",FL,262,1543
"Napa, CA",CA,263,2937
"Tupelo, MS",MS,264,1090
"Eureka, CA",CA,265,1504
"Rapid City, SD",SD,266,1293
"Lumberton, NC",NC,267,833
"Wausau, WI",WI,268,1016
"Lebanon, PA",PA,269,1178
"Idaho Falls, ID",ID,270,1137
"Sierra Vista, AZ",AZ,271,888
"Lawton, OK",OK,272,730
"Farmington, NM",NM,273,1106
"Jackson, TN",TN,274,908
"Morgantown, WV",WV,275,1146
"Winchester, VA",VA,276,1366
